UTC,storage1_qforcing_in,storage2_qforcing_in,storage3_qforcing_in,storage1_qforcing_out,storage2_qforcing_out,storage3_qforcing_out,storage1_mforcing_in,storage2_mforcing_in,storage3_mforcing_in,head_sea_upstream_zsf,salinity_sea_upstream_zsf,head_sea_downstream_zsf,salinity_sea_downstream_zsf,storage3_qforcing_ZSF,storage3_mforcing_ZSF,storage1_qforcing_ZSF,storage1_mforcing_ZSF,connector0_middle_discharge,storage1_qforcing_advective,storage1_mforcing_advective,storage3_qforcing_advective,upstream_discharge,downstream_discharge,upstream_flux
2013-01-01 00:00:00,0,0,0,0,0,0,0,0,0,11,30,10,5,0,0,0,0,0,0,0,0,0,0,0
2013-01-01 00:01:00,0,0,0,0,0,0,0,0,0,11,30,10,5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,0,0,0
2013-01-01 00:02:00,0,0,0,0,0,0,0,0,0,11,30,10,5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,0,0,0
2013-01-01 00:03:00,0,0,0,0,0,0,0,0,0,11,30,10,5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,0,0,0
2013-01-01 00:04:00,0,0,0,0,0,0,0,0,0,11,30,10,5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,0,0,0
2013-01-01 00:05:00,0,0,0,0,0,0,0,0,0,11,30,10,5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,0,0,0
2013-01-01 00:06:00,0,0,0,0,0,0,0,0,0,11,30,10,5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,0,0,0
2013-01-01 00:07:00,0,0,0,0,0,0,0,0,0,11,30,10,5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,0,0,0
2013-01-01 00:08:00,0,0,0,0,0,0,0,0,0,11,30,10,5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,0,0,0
2013-01-01 00:09:00,0,0,0,0,0,0,0,0,0,11,30,10,5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,0,0,0
2013-01-01 00:10:00,0,0,0,0,0,0,0,0,0,11,30,10,5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,0,0,0
2013-01-01 00:11:00,0,0,0,0,0,0,0,0,0,11,30,10,5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,0,0,0
2013-01-01 00:12:00,0,0,0,0,0,0,0,0,0,11,30,10,5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,0,0,0
2013-01-01 00:13:00,0,0,0,0,0,0,0,0,0,11,30,10,5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,0,0,0
2013-01-01 00:14:00,0,0,0,0,0,0,0,0,0,11,30,10,5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,0,0,0
2013-01-01 00:15:00,0,0,0,0,0,0,0,0,0,11,30,10,5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,0,0,0
2013-01-01 00:16:00,0,0,0,0,0,0,0,0,0,11,30,10,5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,0,0,0
2013-01-01 00:17:00,0,0,0,0,0,0,0,0,0,11,30,10,5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,0,0,0
2013-01-01 00:18:00,0,0,0,0,0,0,0,0,0,11,30,10,5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,0,0,0
2013-01-01 00:19:00,0,0,0,0,0,0,0,0,0,11,30,10,5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,0,0,0
2013-01-01 00:20:00,0,0,0,0,0,0,0,0,0,11,30,10,5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,0,0,0
2013-01-01 00:21:00,0,0,0,0,0,0,0,0,0,11,30,10,5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,0,0,0
2013-01-01 00:22:00,0,0,0,0,0,0,0,0,0,11,30,10,5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,0,0,0
2013-01-01 00:23:00,0,0,0,0,0,0,0,0,0,11,30,10,5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,0,0,0
2013-01-01 00:24:00,0,0,0,0,0,0,0,0,0,11,30,10,5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,0,0,0
2013-01-01 00:25:00,0,0,0,0,0,0,0,0,0,11,30,10,5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,0,0,0
2013-01-01 00:26:00,0,0,0,0,0,0,0,0,0,11,30,10,5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,0,0,0
2013-01-01 00:27:00,0,0,0,0,0,0,0,0,0,11,30,10,5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,0,0,0
2013-01-01 00:28:00,0,0,0,0,0,0,0,0,0,11,30,10,5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,0,0,0
2013-01-01 00:29:00,0,0,0,0,0,0,0,0,0,11,30,10,5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,0,0,0
2013-01-01 00:30:00,0,0,0,0,0,0,0,0,0,11,30,10,5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,0,0,0
2013-01-01 00:31:00,0,0,0,0,0,0,0,0,0,11,30,10,5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,0,0,0
2013-01-01 00:32:00,0,0,0,0,0,0,0,0,0,11,30,10,5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,0,0,0
2013-01-01 00:33:00,0,0,0,0,0,0,0,0,0,11,30,10,5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,0,0,0
2013-01-01 00:34:00,0,0,0,0,0,0,0,0,0,11,30,10,5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,0,0,0
2013-01-01 00:35:00,0,0,0,0,0,0,0,0,0,11,30,10,5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,0,0,0
2013-01-01 00:36:00,0,0,0,0,0,0,0,0,0,11,30,10,5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,0,0,0
2013-01-01 00:37:00,0,0,0,0,0,0,0,0,0,11,30,10,5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,0,0,0
2013-01-01 00:38:00,0,0,0,0,0,0,0,0,0,11,30,10,5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,0,0,0
2013-01-01 00:39:00,0,0,0,0,0,0,0,0,0,11,30,10,5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,0,0,0
2013-01-01 00:40:00,0,0,0,0,0,0,0,0,0,11,30,10,5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,0,0,0
