time,Q_in,Q_turbine
2022-06-07 06:00:00,4.1549306,0.05
2022-06-07 07:00:00,3.7766178,
2022-06-07 08:00:00,3.7766178,
2022-06-07 09:00:00,3.8080494,
2022-06-07 10:00:00,3.4951482,
2022-06-07 11:00:00,3.1239145,
2022-06-07 12:00:00,3.4487085,
2022-06-07 13:00:00,4.1543646,
2022-06-07 14:00:00,4.8755946,
2022-06-07 15:00:00,4.7668576,
2022-06-07 16:00:00,4.1764517,
2022-06-07 17:00:00,3.7222493,
2022-06-07 18:00:00,3.6868534,
2022-06-07 19:00:00,4.002869,
2022-06-07 20:00:00,3.222457,
2022-06-07 21:00:00,2.4604506,
2022-06-07 22:00:00,2.970437,
2022-06-07 23:00:00,3.780582,
2022-06-08 00:00:00,3.8403306,
2022-06-08 01:00:00,2.852639,
2022-06-08 02:00:00,2.581647,
2022-06-08 03:00:00,3.4656987,
2022-06-08 04:00:00,3.93321,
2022-06-08 05:00:00,3.57217,
2022-06-08 06:00:00,3.196972,
2022-06-08 07:00:00,3.3815978,
2022-06-08 08:00:00,3.3617759,
2022-06-08 09:00:00,3.1561956,
2022-06-08 10:00:00,2.7495656,
2022-06-08 11:00:00,2.7809975,
2022-06-08 12:00:00,3.1876273,
2022-06-08 13:00:00,3.0007362,
2022-06-08 14:00:00,3.2589858,
2022-06-08 15:00:00,3.3563957,
2022-06-08 16:00:00,3.0262213,
2022-06-08 17:00:00,3.104942,
2022-06-08 18:00:00,2.9038925,
2022-06-08 19:00:00,3.103243,
2022-06-08 20:00:00,3.415578,
2022-06-08 21:00:00,3.711489,
2022-06-08 22:00:00,4.5349426,
2022-06-08 23:00:00,4.822076,
2022-06-09 00:00:00,4.649343,
2022-06-09 01:00:00,4.0787582,
2022-06-09 02:00:00,3.5161028,
2022-06-09 03:00:00,3.3025937,
2022-06-09 04:00:00,2.8115797,
2022-06-09 05:00:00,2.4482744,
2022-06-09 06:00:00,2.4482744,
2022-06-09 07:00:00,2.8243222,
2022-06-09 08:00:00,3.2026353,
2022-06-09 09:00:00,2.855754,
2022-06-09 10:00:00,2.8605678,
2022-06-09 11:00:00,3.2703125,
2022-06-09 12:00:00,3.4656987,
2022-06-09 13:00:00,3.30316,
2022-06-09 14:00:00,2.7914746,
2022-06-09 15:00:00,3.0296192,
2022-06-09 16:00:00,3.5908592,
2022-06-09 17:00:00,3.3779166,
2022-06-09 18:00:00,3.3832967,
2022-06-09 19:00:00,3.7616098,
2022-06-09 20:00:00,4.107075,
2022-06-09 21:00:00,4.427905,
2022-06-09 22:00:00,4.721834,
2022-06-09 23:00:00,6.07991,
2022-06-10 00:00:00,6.4754963,
2022-06-10 01:00:00,5.654874,
2022-06-10 02:00:00,5.0958996,
2022-06-10 03:00:00,4.553632,
2022-06-10 04:00:00,4.0617685,
2022-06-10 05:00:00,3.3153362,
2022-06-10 06:00:00,2.961659,
2022-06-10 07:00:00,2.9732687,
2022-06-10 08:00:00,3.3224156,
2022-06-10 09:00:00,3.3108056,
2022-06-10 10:00:00,3.089934,
2022-06-10 11:00:00,2.3944724,
2022-06-10 12:00:00,1.1958203,
2022-06-10 13:00:00,1.6559691,
2022-06-10 14:00:00,2.2291021,
2022-06-10 15:00:00,1.6503057,
2022-06-10 16:00:00,1.9949218,
2022-06-10 17:00:00,2.4097636,
2022-06-10 18:00:00,3.1998036,
2022-06-10 19:00:00,3.524598,
2022-06-10 20:00:00,3.2068827,
2022-06-10 21:00:00,4.0116477,
2022-06-10 22:00:00,2.9191837,
2022-06-10 23:00:00,2.8466926,
2022-06-11 00:00:00,3.8035188,
2022-06-11 01:00:00,3.6081324,
2022-06-11 02:00:00,3.3765006,
2022-06-11 03:00:00,3.1573284,
2022-06-11 04:00:00,3.772087,
2022-06-11 05:00:00,2.9548628,
2022-06-11 06:00:00,2.151797,
2022-06-11 07:00:00,2.1376386,
2022-06-11 08:00:00,2.1234803,
2022-06-11 09:00:00,2.1234803,
2022-06-11 10:00:00,2.166805,
2022-06-11 11:00:00,2.5592766,
2022-06-11 12:00:00,2.2919655,
2022-06-11 13:00:00,2.7688212,
2022-06-11 14:00:00,3.6002038,
2022-06-11 15:00:00,2.6159103,
2022-06-11 16:00:00,1.8544703,
2022-06-11 17:00:00,2.9894094,
2022-06-11 18:00:00,3.4623008,
2022-06-11 19:00:00,2.4825377,
2022-06-11 20:00:00,1.872593,
2022-06-11 21:00:00,3.7774673,
2022-06-11 22:00:00,4.6065845,
2022-06-11 23:00:00,3.1026769,
2022-06-12 00:00:00,3.3810313,
2022-06-12 01:00:00,3.994091,
2022-06-12 02:00:00,3.8114474,
2022-06-12 03:00:00,2.9293778,
2022-06-12 04:00:00,2.8758588,
2022-06-12 05:00:00,3.2541718,
2022-06-12 06:00:00,2.4259043,
2022-06-12 07:00:00,2.3075397,
2022-06-12 08:00:00,3.3473344,
2022-06-12 09:00:00,4.7589293,
2022-06-12 10:00:00,5.4274898,
2022-06-12 11:00:00,6.0762286,
2022-06-12 12:00:00,7.477063,
2022-06-12 13:00:00,8.158933,
2022-06-12 14:00:00,7.705863,
2022-06-12 15:00:00,6.895152,
2022-06-12 16:00:00,7.2253265,
2022-06-12 17:00:00,8.028392,
2022-06-12 18:00:00,8.184984,
2022-06-12 19:00:00,8.766612,
2022-06-12 20:00:00,8.231141,
2022-06-12 21:00:00,7.953919,
2022-06-12 22:00:00,7.960715,
2022-06-12 23:00:00,6.799441,
2022-06-13 00:00:00,5.961262,
2022-06-13 01:00:00,5.05569,
2022-06-13 02:00:00,5.3043118,
2022-06-13 03:00:00,5.3003473,
2022-06-13 04:00:00,4.598089,
2022-06-13 05:00:00,4.595541,
2022-06-13 06:00:00,4.576002,
2022-06-13 07:00:00,4.6170616,
2022-06-13 08:00:00,4.627822,
2022-06-13 09:00:00,4.5898776,
2022-06-13 10:00:00,4.567224,
2022-06-13 11:00:00,4.2076,
2022-06-13 12:00:00,3.8921504,
2022-06-13 13:00:00,3.8992295,
2022-06-13 14:00:00,3.53819,
2022-06-13 15:00:00,3.2060332,
2022-06-13 16:00:00,3.2377481,
2022-06-13 17:00:00,3.2714453,
2022-06-13 18:00:00,2.9574113,
2022-06-13 19:00:00,1.951597,
2022-06-13 20:00:00,1.9705693,
2022-06-13 21:00:00,2.3270783,
2022-06-13 22:00:00,1.9799138,
2022-06-13 23:00:00,1.9824624,
2022-06-14 00:00:00,2.259401,
2022-06-14 01:00:00,2.8738766,
2022-06-14 02:00:00,2.8597183,
2022-06-14 03:00:00,2.5083063,
2022-06-14 04:00:00,2.5083063,
2022-06-14 05:00:00,2.5083063,
2022-06-14 06:00:00,2.523031,
2022-06-14 07:00:00,2.538322,
2022-06-14 08:00:00,2.538322,
2022-06-14 09:00:00,2.538322,
2022-06-14 10:00:00,2.1574605,
2022-06-14 11:00:00,2.1305594,
2022-06-14 12:00:00,2.106207,
2022-06-14 13:00:00,2.1107376,
2022-06-14 14:00:00,2.144718,
2022-06-14 15:00:00,1.8001019,
2022-06-14 16:00:00,2.1761496,
2022-06-14 17:00:00,3.0219738,
2022-06-14 18:00:00,3.4985464,
2022-06-14 19:00:00,2.8469756,
2022-06-14 20:00:00,2.5471003,
2022-06-14 21:00:00,2.6816053,
2022-06-14 22:00:00,2.447142,
2022-06-14 23:00:00,1.7335573,
2022-06-15 00:00:00,1.3863927,
2022-06-15 01:00:00,2.3653061,
2022-06-15 02:00:00,2.640829,
2022-06-15 03:00:00,2.5275617,
2022-06-15 04:00:00,2.4142942,
2022-06-15 05:00:00,2.3160348,
2022-06-15 06:00:00,2.2177753,
2022-06-15 07:00:00,1.5143849,
2022-06-15 08:00:00,1.5293928,
2022-06-15 09:00:00,1.8774068,
2022-06-15 10:00:00,1.8584346,
2022-06-15 11:00:00,1.8315336,
2022-06-15 12:00:00,1.8071811,
2022-06-15 13:00:00,1.8119949,
2022-06-15 14:00:00,1.452371,
2022-06-15 15:00:00,1.475874,
2022-06-15 16:00:00,1.9668881,
2022-06-15 17:00:00,1.8162425,
2022-06-15 18:00:00,2.405233,
2022-06-15 19:00:00,3.003851,
2022-06-15 20:00:00,3.126463,
2022-06-15 21:00:00,3.482972,
2022-06-15 22:00:00,3.3697047,
2022-06-15 23:00:00,3.5296948,
2022-06-16 00:00:00,2.9475005,
2022-06-16 01:00:00,2.353696,
2022-06-16 02:00:00,2.2336328,
2022-06-16 03:00:00,1.8771237,
2022-06-16 04:00:00,1.8898662,
2022-06-16 05:00:00,1.538171,
2022-06-16 06:00:00,1.1864759,
2022-06-16 07:00:00,1.553179,
2022-06-16 08:00:00,1.9198822,
2022-06-16 09:00:00,1.5390205,
2022-06-16 10:00:00,1.1626897,
2022-06-16 11:00:00,1.5191988,
2022-06-16 12:00:00,1.8731593,
2022-06-16 13:00:00,1.51127,
2022-06-16 14:00:00,1.1493808,
2022-06-16 15:00:00,1.1539115,
2022-06-16 16:00:00,1.1539115,
2022-06-16 17:00:00,1.5387374,
2022-06-16 18:00:00,1.6627651,
2022-06-16 19:00:00,0.8027826,
